FillMethod,FillKVal,FillTime,FillRMSE,PredictMethod,BestK_TreeVal,Class/Regress,OutlierRate,MSE/Accuracy
kNN,13,0:00:01.522906,0.11782781867818336,kNN,5,Regression,36.67621776504298,-0.09487044238441245
MICE,,0:13:28.458033,0.06589395297629624,kNN,5,Regression,10.315186246418339,0.5543369075722562
GAIN,,0:00:01.188047,0.3120433221360518,kNN,5,Regression,58.739255014326645,-0.8895287075334393
Mean,,0:00:00,0.1521305327350839,kNN,5,Regression,44.69914040114613,-0.6197071243137136
Median,,0:00:00.002018,0.15479630470969782,kNN,5,Regression,45.55873925501432,-0.4759315329449334
Min,,0:00:00,0.35410028549223915,kNN,5,Regression,54.44126074498568,-1.4356715990176
Max,,0:00:00,0.7276660637008722,kNN,5,Regression,66.189111747851,-1.5380452217793303
Full,,,,kNN,5,Regression,6.017191977077364,0.7158192249318779
kNN,13,0:00:01.522906,0.11782781867818336,kNN,9,Classification,33.2378223495702,0.20630372492836677
MICE,,0:13:28.458033,0.06589395297629624,kNN,9,Classification,10.315186246418339,0.332378223495702
GAIN,,0:00:01.188047,0.3120433221360518,kNN,9,Classification,61.891117478510026,0.11461318051575932
Mean,,0:00:00,0.1521305327350839,kNN,9,Classification,45.27220630372493,0.18051575931232092
Median,,0:00:00.002018,0.15479630470969782,kNN,9,Classification,46.13180515759312,0.19197707736389685
Min,,0:00:00,0.35410028549223915,kNN,9,Classification,58.45272206303725,0.14326647564469913
Max,,0:00:00,0.7276660637008722,kNN,9,Classification,72.77936962750717,0.09455587392550144
Full,,,,kNN,9,Classification,5.730659025787966,0.4785100286532951
kNN,13,0:00:01.522906,0.11782781867818336,RandomForest,58,Regression,16.6189111747851,0.47877928367016664
MICE,,0:13:28.458033,0.06589395297629624,RandomForest,58,Regression,10.315186246418339,0.5321595783676638
GAIN,,0:00:01.188047,0.3120433221360518,RandomForest,58,Regression,35.24355300859599,0.05541010961183468
Mean,,0:00:00,0.1521305327350839,RandomForest,58,Regression,21.48997134670487,0.44206017654793983
Median,,0:00:00.002018,0.15479630470969782,RandomForest,58,Regression,22.349570200573066,0.43671639518328065
Min,,0:00:00,0.35410028549223915,RandomForest,58,Regression,40.401146131805156,-0.6507779459494978
Max,,0:00:00,0.7276660637008722,RandomForest,58,Regression,47.85100286532951,-0.7824932740050519
Full,,,,RandomForest,58,Regression,8.022922636103152,0.5980045485001313
kNN,13,0:00:01.522906,0.11782781867818336,RandomForest,46,Classification,14.326647564469914,0.2693409742120344
MICE,,0:13:28.458033,0.06589395297629624,RandomForest,46,Classification,12.320916905444125,0.3151862464183381
GAIN,,0:00:01.188047,0.3120433221360518,RandomForest,46,Classification,21.48997134670487,0.22636103151862463
Mean,,0:00:00,0.1521305327350839,RandomForest,46,Classification,17.76504297994269,0.23782234957020057
Median,,0:00:00.002018,0.15479630470969782,RandomForest,46,Classification,15.18624641833811,0.25501432664756446
Min,,0:00:00,0.35410028549223915,RandomForest,46,Classification,24.64183381088825,0.2349570200573066
Max,,0:00:00,0.7276660637008722,RandomForest,46,Classification,34.95702005730659,0.2177650429799427
Full,,,,RandomForest,46,Classification,10.601719197707736,0.335243553008596
