FillMethod,FillKVal,FillTime,FillRMSE,PredictMethod,BestK_TreeVal,Class/Regress,OutlierRate,MSE/Accuracy
kNN,5,0 days 00:00:00.957354,0.11390187157987319,kNN,11,Regression,11.74785100286533,0.6495430696557005
MICE,,0 days 00:19:15.407672,0.04540810297040234,kNN,11,Regression,8.595988538681949,0.7038547119974481
GAIN,,0 days 00:11:52.229339,0.07847631743807994,kNN,11,Regression,9.455587392550143,0.7244125856882617
Mean,,0 days 00:00:00.000279,0.16572526724099723,kNN,11,Regression,13.46704871060172,0.5941968745707855
Median,,0 days 00:00:00.001764,0.1698268230593872,kNN,11,Regression,12.607449856733524,0.613648196079476
Min,,0 days 00:00:00.000177,0.3842793534479804,kNN,11,Regression,15.18624641833811,0.5095802687136342
Max,,0 days 00:00:00.000135,0.7765377600864097,kNN,11,Regression,18.05157593123209,0.4011501035954077
kNN,5,0 days 00:00:00.957354,0.11390187157987319,kNN,7,Classification,10.888252148997134,0.4699140401146132
MICE,,0 days 00:19:15.407672,0.04540810297040234,kNN,7,Classification,7.736389684813753,0.48424068767908307
GAIN,,0 days 00:11:52.229339,0.07847631743807994,kNN,7,Classification,8.30945558739255,0.48424068767908307
Mean,,0 days 00:00:00.000279,0.16572526724099723,kNN,7,Classification,12.320916905444125,0.4670487106017192
Median,,0 days 00:00:00.001764,0.1698268230593872,kNN,7,Classification,12.320916905444125,0.4670487106017192
Min,,0 days 00:00:00.000177,0.3842793534479804,kNN,7,Classification,13.46704871060172,0.4355300859598854
Max,,0 days 00:00:00.000135,0.7765377600864097,kNN,7,Classification,19.484240687679083,0.4068767908309456
kNN,5,0 days 00:00:00.957354,0.11390187157987319,RandomForest,55,Regression,12.320916905444125,0.5292689887425929
MICE,,0 days 00:19:15.407672,0.04540810297040234,RandomForest,55,Regression,10.888252148997134,0.5460750185126284
GAIN,,0 days 00:11:52.229339,0.07847631743807994,RandomForest,55,Regression,12.034383954154729,0.5301633189953137
Mean,,0 days 00:00:00.000279,0.16572526724099723,RandomForest,55,Regression,14.899713467048711,0.44723392465433887
Median,,0 days 00:00:00.001764,0.1698268230593872,RandomForest,55,Regression,14.899713467048711,0.44822767606332725
Min,,0 days 00:00:00.000177,0.3842793534479804,RandomForest,55,Regression,14.899713467048711,0.3437225445079788
Max,,0 days 00:00:00.000135,0.7765377600864097,RandomForest,55,Regression,16.332378223495702,0.34388002111848726
kNN,5,0 days 00:00:00.957354,0.11390187157987319,RandomForest,31,Classification,10.601719197707736,0.3839541547277937
MICE,,0 days 00:19:15.407672,0.04540810297040234,RandomForest,31,Classification,10.315186246418339,0.39255014326647564
GAIN,,0 days 00:11:52.229339,0.07847631743807994,RandomForest,31,Classification,10.601719197707736,0.37822349570200575
Mean,,0 days 00:00:00.000279,0.16572526724099723,RandomForest,31,Classification,11.174785100286533,0.37822349570200575
Median,,0 days 00:00:00.001764,0.1698268230593872,RandomForest,31,Classification,10.888252148997134,0.36962750716332377
Min,,0 days 00:00:00.000177,0.3842793534479804,RandomForest,31,Classification,11.74785100286533,0.3868194842406877
Max,,0 days 00:00:00.000135,0.7765377600864097,RandomForest,31,Classification,11.74785100286533,0.38108882521489973
