FillMethod,FillKVal,FillTime,FillRMSE,PredictMethod,BestK_TreeVal,Class/Regress,OutlierRate,MSE/Accuracy
kNN,5,0:00:00.221448,0.10903329972729549,kNN,7,Regression,12.607449856733524,0.435470730845816
MICE,,0:14:27.757443,0.03908691795378933,kNN,7,Regression,9.169054441260744,0.4940333472128339
GAIN,,0:00:01.241286,0.37177125456240384,kNN,7,Regression,21.20343839541547,0.35087842320823404
Mean,,0:00:00,0.1250915122561221,kNN,7,Regression,14.326647564469914,0.43237342159772585
Median,,0:00:00.001001,0.12514140186976297,kNN,7,Regression,14.613180515759312,0.4274678982060244
Min,,0:00:00,0.31919856651038253,kNN,7,Regression,16.9054441260745,0.3857468180058725
Max,,0:00:00.001000,0.8061482241836773,kNN,7,Regression,22.922636103151863,0.30463099232884383
Full,,,,kNN,7,Regression,9.455587392550143,0.5129426486330395
kNN,5,0:00:00.221448,0.10903329972729549,kNN,9,Classification,9.169054441260744,0.4469914040114613
MICE,,0:14:27.757443,0.03908691795378933,kNN,9,Classification,6.303724928366762,0.4699140401146132
GAIN,,0:00:01.241286,0.37177125456240384,kNN,9,Classification,16.332378223495702,0.41260744985673353
Mean,,0:00:00,0.1250915122561221,kNN,9,Classification,10.888252148997134,0.4355300859598854
Median,,0:00:00.001001,0.12514140186976297,kNN,9,Classification,10.601719197707736,0.44412607449856734
Min,,0:00:00,0.31919856651038253,kNN,9,Classification,13.46704871060172,0.4383954154727794
Max,,0:00:00.001000,0.8061482241836773,kNN,9,Classification,19.484240687679083,0.40974212034383956
Full,,,,kNN,9,Classification,6.017191977077364,0.48424068767908307
kNN,5,0:00:00.221448,0.10903329972729549,RandomForest,34,Regression,12.034383954154729,0.43489118737896537
MICE,,0:14:27.757443,0.03908691795378933,RandomForest,34,Regression,10.02865329512894,0.4751784921145069
GAIN,,0:00:01.241286,0.37177125456240384,RandomForest,34,Regression,14.040114613180515,0.42378082299444697
Mean,,0:00:00,0.1250915122561221,RandomForest,34,Regression,11.74785100286533,0.43626285311147905
Median,,0:00:00.001001,0.12514140186976297,RandomForest,34,Regression,11.461318051575931,0.43260272660745347
Min,,0:00:00,0.31919856651038253,RandomForest,34,Regression,13.180515759312321,0.36324083015072584
Max,,0:00:00.001000,0.8061482241836773,RandomForest,34,Regression,17.76504297994269,0.3552279364345511
Full,,,,RandomForest,34,Regression,10.02865329512894,0.48461929205848775
kNN,5,0:00:00.221448,0.10903329972729549,RandomForest,48,Classification,9.455587392550143,0.3839541547277937
MICE,,0:14:27.757443,0.03908691795378933,RandomForest,48,Classification,9.169054441260744,0.3839541547277937
GAIN,,0:00:01.241286,0.37177125456240384,RandomForest,48,Classification,9.455587392550143,0.37249283667621774
Mean,,0:00:00,0.1250915122561221,RandomForest,48,Classification,10.315186246418339,0.36103151862464183
Median,,0:00:00.001001,0.12514140186976297,RandomForest,48,Classification,10.02865329512894,0.37249283667621774
Min,,0:00:00,0.31919856651038253,RandomForest,48,Classification,8.595988538681949,0.3954154727793696
Max,,0:00:00.001000,0.8061482241836773,RandomForest,48,Classification,10.888252148997134,0.35816618911174786
Full,,,,RandomForest,48,Classification,8.882521489971346,0.3753581661891118
