FillMethod,FillKVal,FillTime,FillRMSE,PredictMethod,BestK_TreeVal,Class/Regress,OutlierRate,MSE/Accuracy
kNN,29,0:00:02.205247,0.09954597083708983,kNN,6,Regression,28.653295128939828,0.02574407765897435
MICE,,0:12:41.561606,0.04515021969534632,kNN,6,Regression,11.461318051575931,0.48388460393043464
GAIN,,0:00:01.163276,0.3306839456272764,kNN,6,Regression,49.2836676217765,-0.5320905858557632
Mean,,0:00:00,0.11801178239472322,kNN,6,Regression,31.23209169054441,0.02431938861410432
Median,,0:00:00.002001,0.11823669516129906,kNN,6,Regression,31.23209169054441,0.07109014471233666
Min,,0:00:00,0.34438846366129483,kNN,6,Regression,42.693409742120345,-0.28355739174717143
Max,,0:00:00,0.7969119318201069,kNN,6,Regression,54.44126074498568,-0.709111486702287
Full,,,,kNN,6,Regression,10.02865329512894,0.5845887915147386
kNN,29,0:00:02.205247,0.09954597083708983,kNN,5,Classification,20.34383954154728,0.3467048710601719
MICE,,0:12:41.561606,0.04515021969534632,kNN,5,Classification,10.315186246418339,0.38968481375358166
GAIN,,0:00:01.163276,0.3306839456272764,kNN,5,Classification,42.40687679083094,0.23209169054441262
Mean,,0:00:00,0.11801178239472322,kNN,5,Classification,27.507163323782233,0.30659025787965616
Median,,0:00:00.002001,0.11823669516129906,kNN,5,Classification,26.93409742120344,0.30945558739255014
Min,,0:00:00,0.34438846366129483,kNN,5,Classification,38.108882521489974,0.29512893982808025
Max,,0:00:00,0.7969119318201069,kNN,5,Classification,52.722063037249285,0.20057306590257878
Full,,,,kNN,5,Classification,9.169054441260744,0.4584527220630373
kNN,29,0:00:02.205247,0.09954597083708983,RandomForest,32,Regression,17.191977077363898,0.38499275750336204
MICE,,0:12:41.561606,0.04515021969534632,RandomForest,32,Regression,10.888252148997134,0.5087822862351994
GAIN,,0:00:01.163276,0.3306839456272764,RandomForest,32,Regression,28.36676217765043,-0.18636797023942786
Mean,,0:00:00,0.11801178239472322,RandomForest,32,Regression,20.34383954154728,0.3439353816658618
Median,,0:00:00.002001,0.11823669516129906,RandomForest,32,Regression,20.05730659025788,0.3425219706001451
Min,,0:00:00,0.34438846366129483,RandomForest,32,Regression,31.80515759312321,-0.23396958913111288
Max,,0:00:00,0.7969119318201069,RandomForest,32,Regression,32.664756446991404,-0.3966946518089469
Full,,,,RandomForest,32,Regression,9.455587392550143,0.5642593406519681
kNN,29,0:00:02.205247,0.09954597083708983,RandomForest,15,Classification,12.607449856733524,0.3237822349570201
MICE,,0:12:41.561606,0.04515021969534632,RandomForest,15,Classification,12.607449856733524,0.3495702005730659
GAIN,,0:00:01.163276,0.3306839456272764,RandomForest,15,Classification,16.332378223495702,0.33810888252148996
Mean,,0:00:00,0.11801178239472322,RandomForest,15,Classification,13.180515759312321,0.335243553008596
Median,,0:00:00.002001,0.11823669516129906,RandomForest,15,Classification,14.040114613180515,0.32664756446991405
Min,,0:00:00,0.34438846366129483,RandomForest,15,Classification,17.478510028653297,0.33810888252148996
Max,,0:00:00,0.7969119318201069,RandomForest,15,Classification,18.911174785100286,0.332378223495702
Full,,,,RandomForest,15,Classification,12.034383954154729,0.3553008595988539
