FillMethod,FillKVal,FillTime,FillRMSE,PredictMethod,BestK_TreeVal,Class/Regress,OutlierRate,MSE/Accuracy
kNN,9,0 days 00:00:04.128351,0.1368752395188225,kNN,15,Regression,12.034383954154729,0.6300927232313052
MICE,,0 days 00:28:50.077099,0.0828593677503872,kNN,15,Regression,9.169054441260744,0.704459575990535
GAIN,,0 days 00:05:17.060621,0.08307651947394017,kNN,15,Regression,11.461318051575931,0.6707800702250272
Mean,,0 days 00:00:00.000272,0.17387912795212215,kNN,15,Regression,14.613180515759312,0.5748459216968717
Median,,0 days 00:00:00.029130,0.17485412606059725,kNN,15,Regression,14.040114613180515,0.5816338661634435
Min,,0 days 00:00:00.000131,0.34727615245803733,kNN,15,Regression,17.76504297994269,0.48547985586253606
Max,,0 days 00:00:00.000142,0.7789476308385929,kNN,15,Regression,20.916905444126076,0.34941268204732856
kNN,9,0 days 00:00:04.128351,0.1368752395188225,kNN,11,Classification,10.888252148997134,0.4297994269340974
MICE,,0 days 00:28:50.077099,0.0828593677503872,kNN,11,Classification,7.163323782234957,0.44412607449856734
GAIN,,0 days 00:05:17.060621,0.08307651947394017,kNN,11,Classification,9.455587392550143,0.42406876790830944
Mean,,0 days 00:00:00.000272,0.17387912795212215,kNN,11,Classification,13.180515759312321,0.4183381088825215
Median,,0 days 00:00:00.029130,0.17485412606059725,kNN,11,Classification,12.607449856733524,0.42120343839541546
Min,,0 days 00:00:00.000131,0.34727615245803733,kNN,11,Classification,15.472779369627506,0.4183381088825215
Max,,0 days 00:00:00.000142,0.7789476308385929,kNN,11,Classification,19.197707736389685,0.3954154727793696
kNN,9,0 days 00:00:04.128351,0.1368752395188225,RandomForest,34,Regression,10.02865329512894,0.6651163513901577
MICE,,0 days 00:28:50.077099,0.0828593677503872,RandomForest,34,Regression,9.455587392550143,0.6740316268884792
GAIN,,0 days 00:05:17.060621,0.08307651947394017,RandomForest,34,Regression,9.455587392550143,0.6743304088322559
Mean,,0 days 00:00:00.000272,0.17387912795212215,RandomForest,34,Regression,12.034383954154729,0.6499092178774852
Median,,0 days 00:00:00.029130,0.17485412606059725,RandomForest,34,Regression,12.034383954154729,0.6533042951286326
Min,,0 days 00:00:00.000131,0.34727615245803733,RandomForest,34,Regression,14.899713467048711,0.6039819774997666
Max,,0 days 00:00:00.000142,0.7789476308385929,RandomForest,34,Regression,14.899713467048711,0.2545151060308455
kNN,9,0 days 00:00:04.128351,0.1368752395188225,RandomForest,49,Classification,9.169054441260744,0.38108882521489973
MICE,,0 days 00:28:50.077099,0.0828593677503872,RandomForest,49,Classification,8.882521489971346,0.3954154727793696
GAIN,,0 days 00:05:17.060621,0.08307651947394017,RandomForest,49,Classification,9.455587392550143,0.3868194842406877
Mean,,0 days 00:00:00.000272,0.17387912795212215,RandomForest,49,Classification,9.455587392550143,0.38108882521489973
Median,,0 days 00:00:00.029130,0.17485412606059725,RandomForest,49,Classification,8.882521489971346,0.37249283667621774
Min,,0 days 00:00:00.000131,0.34727615245803733,RandomForest,49,Classification,10.315186246418339,0.37249283667621774
Max,,0 days 00:00:00.000142,0.7789476308385929,RandomForest,49,Classification,10.601719197707736,0.3753581661891118
