FillMethod,FillKVal,FillTime,FillRMSE,PredictMethod,BestK_TreeVal,Class/Regress,OutlierRate,MSE/Accuracy
kNN,7,0:00:02.034933,0.12284100352107315,kNN,5,Regression,42.40687679083094,-0.1941758805225946
MICE,,0:07:27.206053,0.06875811198489949,kNN,5,Regression,16.332378223495702,0.5348955199310887
GAIN,,0:00:01.158794,0.301425666141198,kNN,5,Regression,59.31232091690544,-0.9477706816940452
Mean,,0:00:00,0.14766783034543138,kNN,5,Regression,48.137535816618914,-0.46782216646802843
Median,,0:00:00.001000,0.14783790470969782,kNN,5,Regression,47.56446991404012,-0.4557749317969473
Min,,0:00:00,0.3350357361274961,kNN,5,Regression,57.59312320916906,-0.871948606683979
Max,,0:00:00,0.6337995951407751,kNN,5,Regression,65.61604584527221,-1.0503202773513616
Full,,,,kNN,5,Regression,8.30945558739255,0.7235879753676051
kNN,7,0:00:02.034933,0.12284100352107315,kNN,11,Classification,39.82808022922636,0.22063037249283668
MICE,,0:07:27.206053,0.06875811198489949,kNN,11,Classification,13.180515759312321,0.335243553008596
GAIN,,0:00:01.158794,0.301425666141198,kNN,11,Classification,63.03724928366762,0.10315186246418338
Mean,,0:00:00,0.14766783034543138,kNN,11,Classification,46.70487106017192,0.20630372492836677
Median,,0:00:00.001000,0.14783790470969782,kNN,11,Classification,44.126074498567334,0.19197707736389685
Min,,0:00:00,0.3350357361274961,kNN,11,Classification,58.739255014326645,0.166189111747851
Max,,0:00:00,0.6337995951407751,kNN,11,Classification,69.62750716332378,0.09455587392550144
Full,,,,kNN,11,Classification,7.4498567335243555,0.48424068767908307
kNN,7,0:00:02.034933,0.12284100352107315,RandomForest,34,Regression,24.64183381088825,0.1926986305063233
MICE,,0:07:27.206053,0.06875811198489949,RandomForest,34,Regression,17.76504297994269,0.5076965443998596
GAIN,,0:00:01.158794,0.301425666141198,RandomForest,34,Regression,39.82808022922636,-0.40189267941870876
Mean,,0:00:00,0.14766783034543138,RandomForest,34,Regression,30.08595988538682,0.07893571448556247
Median,,0:00:00.001000,0.14783790470969782,RandomForest,34,Regression,30.37249283667622,0.03307079435805338
Min,,0:00:00,0.3350357361274961,RandomForest,34,Regression,44.412607449856736,-0.9500852241829674
Max,,0:00:00,0.6337995951407751,RandomForest,34,Regression,50.429799426934096,-1.1642002717336655
Full,,,,RandomForest,34,Regression,11.74785100286533,0.5616007055958825
kNN,7,0:00:02.034933,0.12284100352107315,RandomForest,34,Classification,17.191977077363898,0.3438395415472779
MICE,,0:07:27.206053,0.06875811198489949,RandomForest,34,Classification,13.180515759312321,0.3638968481375358
GAIN,,0:00:01.158794,0.301425666141198,RandomForest,34,Classification,26.074498567335244,0.28653295128939826
Mean,,0:00:00,0.14766783034543138,RandomForest,34,Classification,19.770773638968482,0.29512893982808025
Median,,0:00:00.001000,0.14783790470969782,RandomForest,34,Classification,18.911174785100286,0.28939828080229224
Min,,0:00:00,0.3350357361274961,RandomForest,34,Classification,26.361031518624642,0.2521489971346705
Max,,0:00:00,0.6337995951407751,RandomForest,34,Classification,40.401146131805156,0.2607449856733524
Full,,,,RandomForest,34,Classification,10.02865329512894,0.40114613180515757
