FillMethod,FillKVal,FillTime,FillRMSE,PredictMethod,BestK_TreeVal,Class/Regress,OutlierRate,MSE/Accuracy
kNN,5,0 days 00:00:06.542918,0.08171780975018214,kNN,20,Regression,8.30945558739255,0.5609110383642166
MICE,,0 days 00:30:17.574439,0.06691799598318633,kNN,20,Regression,7.163323782234957,0.6019343647891593
GAIN,,0 days 00:17:16.930055,0.1065931490197254,kNN,20,Regression,7.163323782234957,0.580653862543736
Mean,,0 days 00:00:00.001342,0.16508122282063614,kNN,20,Regression,9.742120343839542,0.549863485847786
Median,,0 days 00:00:00.034088,0.1716937718779291,kNN,20,Regression,9.455587392550143,0.5404564023679113
Min,,0 days 00:00:00.000798,0.3945959304675827,kNN,20,Regression,13.180515759312321,0.4498729738128042
Max,,0 days 00:00:00.000842,0.7819087574925433,kNN,20,Regression,14.613180515759312,0.4149439517605843
kNN,5,0 days 00:00:06.542918,0.08171780975018214,kNN,9,Classification,8.022922636103152,0.4383954154727794
MICE,,0 days 00:30:17.574439,0.06691799598318633,kNN,9,Classification,6.876790830945558,0.4670487106017192
GAIN,,0 days 00:17:16.930055,0.1065931490197254,kNN,9,Classification,7.736389684813753,0.45272206303724927
Mean,,0 days 00:00:00.001342,0.16508122282063614,kNN,9,Classification,9.169054441260744,0.44412607449856734
Median,,0 days 00:00:00.034088,0.1716937718779291,kNN,9,Classification,8.882521489971346,0.4383954154727794
Min,,0 days 00:00:00.000798,0.3945959304675827,kNN,9,Classification,13.180515759312321,0.4269340974212034
Max,,0 days 00:00:00.000842,0.7819087574925433,kNN,9,Classification,15.472779369627506,0.4068767908309456
kNN,5,0 days 00:00:06.542918,0.08171780975018214,RandomForest,24,Regression,10.888252148997134,0.5670297199060135
MICE,,0 days 00:30:17.574439,0.06691799598318633,RandomForest,24,Regression,9.742120343839542,0.606137757428535
GAIN,,0 days 00:17:16.930055,0.1065931490197254,RandomForest,24,Regression,10.02865329512894,0.5806155505287143
Mean,,0 days 00:00:00.001342,0.16508122282063614,RandomForest,24,Regression,11.74785100286533,0.5341087635684666
Median,,0 days 00:00:00.034088,0.1716937718779291,RandomForest,24,Regression,11.74785100286533,0.5341014196031468
Min,,0 days 00:00:00.000798,0.3945959304675827,RandomForest,24,Regression,15.759312320916905,0.40364746830245135
Max,,0 days 00:00:00.000842,0.7819087574925433,RandomForest,24,Regression,12.893982808022923,0.3618740125776734
kNN,5,0 days 00:00:06.542918,0.08171780975018214,RandomForest,30,Classification,10.888252148997134,0.38108882521489973
MICE,,0 days 00:30:17.574439,0.06691799598318633,RandomForest,30,Classification,10.601719197707736,0.3868194842406877
GAIN,,0 days 00:17:16.930055,0.1065931490197254,RandomForest,30,Classification,10.888252148997134,0.3868194842406877
Mean,,0 days 00:00:00.001342,0.16508122282063614,RandomForest,30,Classification,11.461318051575931,0.3839541547277937
Median,,0 days 00:00:00.034088,0.1716937718779291,RandomForest,30,Classification,11.174785100286533,0.37822349570200575
Min,,0 days 00:00:00.000798,0.3945959304675827,RandomForest,30,Classification,12.320916905444125,0.36962750716332377
Max,,0 days 00:00:00.000842,0.7819087574925433,RandomForest,30,Classification,11.74785100286533,0.3868194842406877
