FillMethod,FillKVal,FillTime,FillRMSE,PredictMethod,BestK_TreeVal,Class/Regress,OutlierRate,MSE/Accuracy
kNN,9,0:00:07.254344,0.11818634126642713,kNN,4,Regression,44.126074498567334,-0.6697432393462464
MICE,,0:22:07.416950,0.059468431699788236,kNN,4,Regression,14.326647564469914,0.40111683156371714
GAIN,,0:00:11.485758,0.3399590837179535,kNN,4,Regression,68.48137535816619,-1.7786875888118798
Mean,,0:00:00.001278,0.15153124287822142,kNN,4,Regression,49.570200573065904,-1.1152507861544465
Median,,0:00:00.021207,0.1540222637528448,kNN,4,Regression,48.710601719197705,-1.068846560422537
Min,,0:00:00.015916,0.356091655645263,kNN,4,Regression,66.7621776504298,-2.0382729401657134
Max,,0:00:00.000892,0.7483824023473641,kNN,4,Regression,68.76790830945559,-2.120744763736156
Full,,,,kNN,4,Regression,5.444126074498567,0.6532434367718638
kNN,9,0:00:07.254344,0.11818634126642713,kNN,11,Classification,41.260744985673355,0.2034383954154728
MICE,,0:22:07.416950,0.059468431699788236,kNN,11,Classification,12.320916905444125,0.32664756446991405
GAIN,,0:00:11.485758,0.3399590837179535,kNN,11,Classification,66.4756446991404,0.08882521489971347
Mean,,0:00:00.001278,0.15153124287822142,kNN,11,Classification,49.2836676217765,0.166189111747851
Median,,0:00:00.021207,0.1540222637528448,kNN,11,Classification,48.42406876790831,0.15472779369627507
Min,,0:00:00.015916,0.356091655645263,kNN,11,Classification,60.17191977077364,0.1489971346704871
Max,,0:00:00.000892,0.7483824023473641,kNN,11,Classification,73.92550143266476,0.05730659025787966
Full,,,,kNN,11,Classification,5.157593123209169,0.46418338108882523
kNN,9,0:00:07.254344,0.11818634126642713,RandomForest,50,Regression,20.916905444126076,0.3449405207847702
MICE,,0:22:07.416950,0.059468431699788236,RandomForest,50,Regression,14.613180515759312,0.5606109685884537
GAIN,,0:00:11.485758,0.3399590837179535,RandomForest,50,Regression,45.845272206303726,-0.2574884363319885
Mean,,0:00:00.001278,0.15153124287822142,RandomForest,50,Regression,29.799426934097422,0.025460278710156548
Median,,0:00:00.021207,0.1540222637528448,RandomForest,50,Regression,27.22063037249284,0.09138286549480246
Min,,0:00:00.015916,0.356091655645263,RandomForest,50,Regression,42.693409742120345,-1.0339228561469551
Max,,0:00:00.000892,0.7483824023473641,RandomForest,50,Regression,53.00859598853868,-1.3060064015428057
Full,,,,RandomForest,50,Regression,10.02865329512894,0.659574333421657
kNN,9,0:00:07.254344,0.11818634126642713,RandomForest,46,Classification,17.191977077363898,0.25787965616045844
MICE,,0:22:07.416950,0.059468431699788236,RandomForest,46,Classification,14.040114613180515,0.29512893982808025
GAIN,,0:00:11.485758,0.3399590837179535,RandomForest,46,Classification,22.922636103151863,0.22636103151862463
Mean,,0:00:00.001278,0.15153124287822142,RandomForest,46,Classification,18.911174785100286,0.22349570200573066
Median,,0:00:00.021207,0.1540222637528448,RandomForest,46,Classification,18.624641833810887,0.24068767908309455
Min,,0:00:00.015916,0.356091655645263,RandomForest,46,Classification,29.512893982808023,0.2492836676217765
Max,,0:00:00.000892,0.7483824023473641,RandomForest,46,Classification,38.39541547277937,0.19197707736389685
Full,,,,RandomForest,46,Classification,9.169054441260744,0.3237822349570201
