FillMethod,FillKVal,FillTime,FillRMSE,PredictMethod,BestK_TreeVal,Class/Regress,OutlierRate,MSE/Accuracy
kNN,11,0 days 00:00:01.644161,0.09508991487127974,kNN,8,Regression,11.74785100286533,0.5760956981912843
MICE,,0 days 00:10:38.587424,0.07445457880975023,kNN,8,Regression,6.876790830945558,0.7296695572522665
GAIN,,0 days 00:06:00.566270,0.09307160067743704,kNN,8,Regression,8.595988538681949,0.7043374527044217
Mean,,0 days 00:00:00.000274,0.14589233117777242,kNN,8,Regression,18.624641833810887,0.40584466516572626
Median,,0 days 00:00:00.001859,0.14752857945648487,kNN,8,Regression,17.191977077363898,0.41745132573116317
Min,,0 days 00:00:00.000132,0.32179027493693857,kNN,8,Regression,21.77650429799427,0.15698225781361796
Max,,0 days 00:00:00.000130,0.7569633915438773,kNN,8,Regression,34.67048710601719,-0.2695027200042859
kNN,11,0 days 00:00:01.644161,0.09508991487127974,kNN,5,Classification,12.320916905444125,0.4269340974212034
MICE,,0 days 00:10:38.587424,0.07445457880975023,kNN,5,Classification,7.4498567335243555,0.4670487106017192
GAIN,,0 days 00:06:00.566270,0.09307160067743704,kNN,5,Classification,8.595988538681949,0.4383954154727794
Mean,,0 days 00:00:00.000274,0.14589233117777242,kNN,5,Classification,18.05157593123209,0.3868194842406877
Median,,0 days 00:00:00.001859,0.14752857945648487,kNN,5,Classification,16.9054441260745,0.4040114613180516
Min,,0 days 00:00:00.000132,0.32179027493693857,kNN,5,Classification,21.48997134670487,0.36962750716332377
Max,,0 days 00:00:00.000130,0.7569633915438773,kNN,5,Classification,34.097421203438394,0.30659025787965616
kNN,11,0 days 00:00:01.644161,0.09508991487127974,RandomForest,9,Regression,12.893982808022923,0.6206862149791754
MICE,,0 days 00:10:38.587424,0.07445457880975023,RandomForest,9,Regression,12.320916905444125,0.6278195157225434
GAIN,,0 days 00:06:00.566270,0.09307160067743704,RandomForest,9,Regression,12.893982808022923,0.610125937215704
Mean,,0 days 00:00:00.000274,0.14589233117777242,RandomForest,9,Regression,14.040114613180515,0.6032942188961696
Median,,0 days 00:00:00.001859,0.14752857945648487,RandomForest,9,Regression,14.326647564469914,0.6021876815107927
Min,,0 days 00:00:00.000132,0.32179027493693857,RandomForest,9,Regression,17.478510028653297,0.38699113679040253
Max,,0 days 00:00:00.000130,0.7569633915438773,RandomForest,9,Regression,24.068767908309457,0.05136917082154635
kNN,11,0 days 00:00:01.644161,0.09508991487127974,RandomForest,38,Classification,10.315186246418339,0.3667621776504298
MICE,,0 days 00:10:38.587424,0.07445457880975023,RandomForest,38,Classification,9.169054441260744,0.37822349570200575
GAIN,,0 days 00:06:00.566270,0.09307160067743704,RandomForest,38,Classification,10.601719197707736,0.3638968481375358
Mean,,0 days 00:00:00.000274,0.14589233117777242,RandomForest,38,Classification,9.742120343839542,0.3667621776504298
Median,,0 days 00:00:00.001859,0.14752857945648487,RandomForest,38,Classification,10.02865329512894,0.3667621776504298
Min,,0 days 00:00:00.000132,0.32179027493693857,RandomForest,38,Classification,11.74785100286533,0.3638968481375358
Max,,0 days 00:00:00.000130,0.7569633915438773,RandomForest,38,Classification,14.326647564469914,0.34097421203438394
