FillMethod,FillKVal,FillTime,FillRMSE,PredictMethod,BestK_TreeVal,Class/Regress,OutlierRate,MSE/Accuracy
kNN,15,0:00:01.714081,0.09665287876842746,kNN,17,Regression,30.945558739255013,0.11987553426112985
MICE,,0:11:16.014383,0.06953921972315069,kNN,17,Regression,11.174785100286533,0.6203557477415467
GAIN,,0:00:01.176549,0.38151127887244524,kNN,17,Regression,48.42406876790831,-0.3229425890702431
Mean,,0:00:00,0.12181010932412495,kNN,17,Regression,37.82234957020057,-0.03848053832731613
Median,,0:00:00.008021,0.12249556616914549,kNN,17,Regression,34.097421203438394,0.023595289475070946
Min,,0:00:00,0.31697712260019545,kNN,17,Regression,47.56446991404012,-0.472851129964756
Max,,0:00:00,0.7897566199998268,kNN,17,Regression,55.30085959885387,-0.5583703258896995
Full,,,,kNN,17,Regression,7.736389684813753,0.7198632441946679
kNN,15,0:00:01.714081,0.09665287876842746,kNN,15,Classification,31.23209169054441,0.2922636103151863
MICE,,0:11:16.014383,0.06953921972315069,kNN,15,Classification,10.601719197707736,0.4068767908309456
GAIN,,0:00:01.176549,0.38151127887244524,kNN,15,Classification,52.14899713467049,0.18624641833810887
Mean,,0:00:00,0.12181010932412495,kNN,15,Classification,38.96848137535817,0.2664756446991404
Median,,0:00:00.008021,0.12249556616914549,kNN,15,Classification,35.53008595988538,0.2722063037249284
Min,,0:00:00,0.31697712260019545,kNN,15,Classification,49.570200573065904,0.22063037249283668
Max,,0:00:00,0.7897566199998268,kNN,15,Classification,56.16045845272206,0.16905444126074498
Full,,,,kNN,15,Classification,5.444126074498567,0.504297994269341
kNN,15,0:00:01.714081,0.09665287876842746,RandomForest,15,Regression,17.478510028653297,0.2492048513595676
MICE,,0:11:16.014383,0.06953921972315069,RandomForest,15,Regression,10.888252148997134,0.47202986597886265
GAIN,,0:00:01.176549,0.38151127887244524,RandomForest,15,Regression,34.95702005730659,0.018664863215901883
Mean,,0:00:00,0.12181010932412495,RandomForest,15,Regression,24.355300859598852,0.07032095155058249
Median,,0:00:00.008021,0.12249556616914549,RandomForest,15,Regression,22.636103151862464,0.077527733046028
Min,,0:00:00,0.31697712260019545,RandomForest,15,Regression,34.95702005730659,-0.9231710625230543
Max,,0:00:00,0.7897566199998268,RandomForest,15,Regression,40.401146131805156,-1.0567454736479864
Full,,,,RandomForest,15,Regression,8.30945558739255,0.5282412611222598
kNN,15,0:00:01.714081,0.09665287876842746,RandomForest,38,Classification,16.045845272206304,0.31805157593123207
MICE,,0:11:16.014383,0.06953921972315069,RandomForest,38,Classification,8.30945558739255,0.36103151862464183
GAIN,,0:00:01.176549,0.38151127887244524,RandomForest,38,Classification,16.9054441260745,0.3237822349570201
Mean,,0:00:00,0.12181010932412495,RandomForest,38,Classification,16.6189111747851,0.3237822349570201
Median,,0:00:00.008021,0.12249556616914549,RandomForest,38,Classification,18.911174785100286,0.3237822349570201
Min,,0:00:00,0.31697712260019545,RandomForest,38,Classification,20.916905444126076,0.2979942693409742
Max,,0:00:00,0.7897566199998268,RandomForest,38,Classification,31.51862464183381,0.2836676217765043
Full,,,,RandomForest,38,Classification,8.30945558739255,0.3954154727793696
