FillMethod,FillKVal,FillTime,FillRMSE,PredictMethod,BestK_TreeVal,Class/Regress,OutlierRate,MSE/Accuracy
kNN,3,0 days 00:00:00.997462,0.07417487704857947,kNN,4,Regression,11.461318051575931,0.44889629374141193
MICE,,0 days 00:10:00.383174,0.03255059247222471,kNN,4,Regression,6.017191977077364,0.6684779858069041
GAIN,,0 days 00:08:41.512938,0.04768010218759838,kNN,4,Regression,7.4498567335243555,0.6399645884482421
Mean,,0 days 00:00:00.000264,0.11747111523830779,kNN,4,Regression,12.320916905444125,0.47399195620932577
Median,,0 days 00:00:00.030195,0.11411443110181574,kNN,4,Regression,11.74785100286533,0.48854215572914106
Min,,0 days 00:00:00.000129,0.3379920576946447,kNN,4,Regression,15.18624641833811,0.12918126023975962
Max,,0 days 00:00:00.000120,0.7609194057251704,kNN,4,Regression,18.05157593123209,0.09962540530143638
kNN,3,0 days 00:00:00.997462,0.07417487704857947,kNN,9,Classification,7.736389684813753,0.44126074498567336
MICE,,0 days 00:10:00.383174,0.03255059247222471,kNN,9,Classification,4.2979942693409745,0.4670487106017192
GAIN,,0 days 00:08:41.512938,0.04768010218759838,kNN,9,Classification,4.871060171919771,0.45558739255014324
Mean,,0 days 00:00:00.000264,0.11747111523830779,kNN,9,Classification,8.595988538681949,0.44126074498567336
Median,,0 days 00:00:00.030195,0.11411443110181574,kNN,9,Classification,9.169054441260744,0.4383954154727794
Min,,0 days 00:00:00.000129,0.3379920576946447,kNN,9,Classification,12.320916905444125,0.4326647564469914
Max,,0 days 00:00:00.000120,0.7609194057251704,kNN,9,Classification,16.045845272206304,0.4154727793696275
kNN,3,0 days 00:00:00.997462,0.07417487704857947,RandomForest,52,Regression,8.022922636103152,0.6843755273306542
MICE,,0 days 00:10:00.383174,0.03255059247222471,RandomForest,52,Regression,7.736389684813753,0.7041732012795782
GAIN,,0 days 00:08:41.512938,0.04768010218759838,RandomForest,52,Regression,8.30945558739255,0.6820188377148294
Mean,,0 days 00:00:00.000264,0.11747111523830779,RandomForest,52,Regression,9.742120343839542,0.6732001637818671
Median,,0 days 00:00:00.030195,0.11411443110181574,RandomForest,52,Regression,9.169054441260744,0.6745305820114836
Min,,0 days 00:00:00.000129,0.3379920576946447,RandomForest,52,Regression,10.601719197707736,0.5834989974754492
Max,,0 days 00:00:00.000120,0.7609194057251704,RandomForest,52,Regression,11.74785100286533,0.4874258518750605
kNN,3,0 days 00:00:00.997462,0.07417487704857947,RandomForest,13,Classification,10.888252148997134,0.3467048710601719
MICE,,0 days 00:10:00.383174,0.03255059247222471,RandomForest,13,Classification,10.601719197707736,0.3438395415472779
GAIN,,0 days 00:08:41.512938,0.04768010218759838,RandomForest,13,Classification,10.601719197707736,0.3495702005730659
Mean,,0 days 00:00:00.000264,0.11747111523830779,RandomForest,13,Classification,12.034383954154729,0.33810888252148996
Median,,0 days 00:00:00.030195,0.11411443110181574,RandomForest,13,Classification,10.315186246418339,0.34097421203438394
Min,,0 days 00:00:00.000129,0.3379920576946447,RandomForest,13,Classification,11.74785100286533,0.33810888252148996
Max,,0 days 00:00:00.000120,0.7609194057251704,RandomForest,13,Classification,12.034383954154729,0.332378223495702
