FillMethod,FillKVal,FillTime,FillRMSE,PredictMethod,BestK_TreeVal,Class/Regress,OutlierRate,MSE/Accuracy
kNN,7,0:00:01.158324,0.14331854471438604,kNN,22,Regression,11.461318051575931,0.4451627114961447
MICE,,0:12:13.387616,0.097898831929564,kNN,22,Regression,8.022922636103152,0.47509302909358
GAIN,,0:00:01.186228,0.3621562927724907,kNN,22,Regression,16.045845272206304,0.35950862369966663
Mean,,0:00:00,0.1709542236038838,kNN,22,Regression,12.320916905444125,0.40301750049124474
Median,,0:00:00,0.17134506273680603,kNN,22,Regression,11.461318051575931,0.4098679764334725
Min,,0:00:00,0.32624131256658817,kNN,22,Regression,13.46704871060172,0.4078112255473636
Max,,0:00:00,0.7959302815817314,kNN,22,Regression,17.76504297994269,0.3606216418339222
Full,,,,kNN,22,Regression,8.022922636103152,0.45586722636617727
kNN,7,0:00:01.158324,0.14331854471438604,kNN,41,Classification,10.888252148997134,0.4383954154727794
MICE,,0:12:13.387616,0.097898831929564,kNN,41,Classification,8.595988538681949,0.46131805157593125
GAIN,,0:00:01.186228,0.3621562927724907,kNN,41,Classification,15.759312320916905,0.40974212034383956
Mean,,0:00:00,0.1709542236038838,kNN,41,Classification,12.320916905444125,0.41260744985673353
Median,,0:00:00,0.17134506273680603,kNN,41,Classification,12.320916905444125,0.4269340974212034
Min,,0:00:00,0.32624131256658817,kNN,41,Classification,13.753581661891117,0.4154727793696275
Max,,0:00:00,0.7959302815817314,kNN,41,Classification,17.191977077363898,0.38968481375358166
Full,,,,kNN,41,Classification,8.595988538681949,0.4584527220630373
kNN,7,0:00:01.158324,0.14331854471438604,RandomForest,55,Regression,9.742120343839542,0.39700616535185673
MICE,,0:12:13.387616,0.097898831929564,RandomForest,55,Regression,9.169054441260744,0.4002078231612588
GAIN,,0:00:01.186228,0.3621562927724907,RandomForest,55,Regression,12.320916905444125,0.3884365221602796
Mean,,0:00:00,0.1709542236038838,RandomForest,55,Regression,10.315186246418339,0.3881554707161373
Median,,0:00:00,0.17134506273680603,RandomForest,55,Regression,9.455587392550143,0.3927668773045675
Min,,0:00:00,0.32624131256658817,RandomForest,55,Regression,10.315186246418339,0.34510021985379613
Max,,0:00:00,0.7959302815817314,RandomForest,55,Regression,14.613180515759312,0.3620409280936815
Full,,,,RandomForest,55,Regression,8.882521489971346,0.4030651590783286
kNN,7,0:00:01.158324,0.14331854471438604,RandomForest,31,Classification,9.742120343839542,0.3753581661891118
MICE,,0:12:13.387616,0.097898831929564,RandomForest,31,Classification,9.742120343839542,0.3753581661891118
GAIN,,0:00:01.186228,0.3621562927724907,RandomForest,31,Classification,10.601719197707736,0.36962750716332377
Mean,,0:00:00,0.1709542236038838,RandomForest,31,Classification,10.315186246418339,0.36962750716332377
Median,,0:00:00,0.17134506273680603,RandomForest,31,Classification,9.169054441260744,0.36962750716332377
Min,,0:00:00,0.32624131256658817,RandomForest,31,Classification,10.315186246418339,0.37249283667621774
Max,,0:00:00,0.7959302815817314,RandomForest,31,Classification,10.601719197707736,0.3667621776504298
Full,,,,RandomForest,31,Classification,8.882521489971346,0.3868194842406877
