FillMethod,FillKVal,FillTime,FillRMSE,PredictMethod,BestK_TreeVal,Class/Regress,OutlierRate,MSE/Accuracy
kNN,11,0:00:01.560024,0.07434145081791199,kNN,3,Regression,16.6189111747851,0.32125509866216395
MICE,,0:12:54.136520,0.02508020206334951,kNN,3,Regression,7.4498567335243555,0.4638780263516178
GAIN,,0:00:01.206830,0.3430225623909522,kNN,3,Regression,31.51862464183381,-0.021273261391024922
Mean,,0:00:00.002016,0.11680632324244206,kNN,3,Regression,19.770773638968482,0.16106586109759558
Median,,0:00:00,0.1185998080536084,kNN,3,Regression,19.484240687679083,0.19753828722891897
Min,,0:00:00,0.38315239252490096,kNN,3,Regression,23.78223495702006,-0.03313119402070308
Max,,0:00:00,0.7994465420538531,kNN,3,Regression,32.378223495702,-0.16543922464277117
Full,,,,kNN,3,Regression,7.736389684813753,0.48104378196575703
kNN,11,0:00:01.560024,0.07434145081791199,kNN,3,Classification,13.753581661891117,0.3553008595988539
MICE,,0:12:54.136520,0.02508020206334951,kNN,3,Classification,7.163323782234957,0.4183381088825215
GAIN,,0:00:01.206830,0.3430225623909522,kNN,3,Classification,28.653295128939828,0.2979942693409742
Mean,,0:00:00.002016,0.11680632324244206,kNN,3,Classification,17.478510028653297,0.3467048710601719
Median,,0:00:00,0.1185998080536084,kNN,3,Classification,17.478510028653297,0.35816618911174786
Min,,0:00:00,0.38315239252490096,kNN,3,Classification,23.49570200573066,0.3237822349570201
Max,,0:00:00,0.7994465420538531,kNN,3,Classification,30.08595988538682,0.27793696275071633
Full,,,,kNN,3,Classification,7.4498567335243555,0.41260744985673353
kNN,11,0:00:01.560024,0.07434145081791199,RandomForest,33,Regression,10.315186246418339,0.44499485582795395
MICE,,0:12:54.136520,0.02508020206334951,RandomForest,33,Regression,10.315186246418339,0.4633121805278291
GAIN,,0:00:01.206830,0.3430225623909522,RandomForest,33,Regression,20.05730659025788,0.31110066206533005
Mean,,0:00:00.002016,0.11680632324244206,RandomForest,33,Regression,13.753581661891117,0.39438526573913246
Median,,0:00:00,0.1185998080536084,RandomForest,33,Regression,13.180515759312321,0.40125563216571714
Min,,0:00:00,0.38315239252490096,RandomForest,33,Regression,18.911174785100286,0.15746178015772827
Max,,0:00:00,0.7994465420538531,RandomForest,33,Regression,21.20343839541547,0.1998198593662549
Full,,,,RandomForest,33,Regression,10.02865329512894,0.46796719637054063
kNN,11,0:00:01.560024,0.07434145081791199,RandomForest,59,Classification,11.174785100286533,0.36962750716332377
MICE,,0:12:54.136520,0.02508020206334951,RandomForest,59,Classification,10.02865329512894,0.37249283667621774
GAIN,,0:00:01.206830,0.3430225623909522,RandomForest,59,Classification,13.46704871060172,0.3524355300859599
Mean,,0:00:00.002016,0.11680632324244206,RandomForest,59,Classification,14.040114613180515,0.3438395415472779
Median,,0:00:00,0.1185998080536084,RandomForest,59,Classification,13.46704871060172,0.3467048710601719
Min,,0:00:00,0.38315239252490096,RandomForest,59,Classification,13.753581661891117,0.335243553008596
Max,,0:00:00,0.7994465420538531,RandomForest,59,Classification,15.759312320916905,0.3524355300859599
Full,,,,RandomForest,59,Classification,10.02865329512894,0.36103151862464183
