FillMethod,FillKVal,FillTime,FillRMSE,PredictMethod,BestK_TreeVal,Class/Regress,OutlierRate,MSE/Accuracy
kNN,19,0:00:01.524469,0.10872799815917537,kNN,3,Regression,28.653295128939828,0.16734320037207084
MICE,,0:12:33.280444,0.0654430478673781,kNN,3,Regression,9.169054441260744,0.4594356777299319
GAIN,,0:00:01.147293,0.36389148672468924,kNN,3,Regression,51.862464183381086,-0.3082598165613697
Mean,,0:00:00,0.14631471107510496,kNN,3,Regression,40.401146131805156,-0.13188625798934717
Median,,0:00:00,0.14704946306708813,kNN,3,Regression,39.541547277936964,-0.06918774889733958
Min,,0:00:00,0.3730406896834647,kNN,3,Regression,48.710601719197705,-0.8710511449880944
Max,,0:00:00,0.7265920447209783,kNN,3,Regression,58.739255014326645,-0.41446390858702364
Full,,,,kNN,3,Regression,6.017191977077364,0.5751260301727132
kNN,19,0:00:01.524469,0.10872799815917537,kNN,9,Classification,29.512893982808023,0.23209169054441262
MICE,,0:12:33.280444,0.0654430478673781,kNN,9,Classification,8.595988538681949,0.36962750716332377
GAIN,,0:00:01.147293,0.36389148672468924,kNN,9,Classification,52.722063037249285,0.13753581661891118
Mean,,0:00:00,0.14631471107510496,kNN,9,Classification,38.108882521489974,0.2177650429799427
Median,,0:00:00,0.14704946306708813,kNN,9,Classification,36.38968481375358,0.21203438395415472
Min,,0:00:00,0.3730406896834647,kNN,9,Classification,48.42406876790831,0.18051575931232092
Max,,0:00:00,0.7265920447209783,kNN,9,Classification,58.45272206303725,0.1346704871060172
Full,,,,kNN,9,Classification,3.438395415472779,0.4871060171919771
kNN,19,0:00:01.524469,0.10872799815917537,RandomForest,60,Regression,15.759312320916905,0.34156843521446356
MICE,,0:12:33.280444,0.0654430478673781,RandomForest,60,Regression,11.74785100286533,0.43035419334491287
GAIN,,0:00:01.147293,0.36389148672468924,RandomForest,60,Regression,40.401146131805156,-0.3844498740929836
Mean,,0:00:00,0.14631471107510496,RandomForest,60,Regression,23.49570200573066,0.25663275227799687
Median,,0:00:00,0.14704946306708813,RandomForest,60,Regression,24.64183381088825,0.23298971343799724
Min,,0:00:00,0.3730406896834647,RandomForest,60,Regression,35.24355300859599,-0.42016477034549693
Max,,0:00:00,0.7265920447209783,RandomForest,60,Regression,41.260744985673355,-0.3045253303241928
Full,,,,RandomForest,60,Regression,8.30945558739255,0.46765120329746457
kNN,19,0:00:01.524469,0.10872799815917537,RandomForest,42,Classification,12.893982808022923,0.3123209169054441
MICE,,0:12:33.280444,0.0654430478673781,RandomForest,42,Classification,9.742120343839542,0.332378223495702
GAIN,,0:00:01.147293,0.36389148672468924,RandomForest,42,Classification,20.630372492836678,0.3037249283667622
Mean,,0:00:00,0.14631471107510496,RandomForest,42,Classification,15.472779369627506,0.3037249283667622
Median,,0:00:00,0.14704946306708813,RandomForest,42,Classification,15.472779369627506,0.31805157593123207
Min,,0:00:00,0.3730406896834647,RandomForest,42,Classification,21.77650429799427,0.2664756446991404
Max,,0:00:00,0.7265920447209783,RandomForest,42,Classification,26.361031518624642,0.28939828080229224
Full,,,,RandomForest,42,Classification,8.595988538681949,0.3667621776504298
