FillMethod,FillKVal,FillTime,FillRMSE,PredictMethod,BestK_TreeVal,Class/Regress,OutlierRate,MSE/Accuracy
kNN,7,0:00:01.977788,0.09993536721885452,kNN,7,Regression,42.97994269340974,0.019258085021173654
MICE,,0:06:06.805843,0.06274346347685893,kNN,7,Regression,15.18624641833811,0.5329637940809739
GAIN,,0:00:01.267819,0.29712533276848047,kNN,7,Regression,60.74498567335244,-0.3575011678138649
Mean,,0:00:00,0.134679765139838,kNN,7,Regression,49.570200573065904,-0.25306378150904796
Median,,0:00:00,0.13705805364183168,kNN,7,Regression,48.42406876790831,-0.19358744061464384
Min,,0:00:00,0.3445532230529512,kNN,7,Regression,68.76790830945559,-0.8058564782927105
Max,,0:00:00,0.6792140609081996,kNN,7,Regression,69.05444126074498,-0.9714739937848194
Full,,,,kNN,7,Regression,4.871060171919771,0.7124215462070353
kNN,7,0:00:01.977788,0.09993536721885452,kNN,9,Classification,36.10315186246418,0.19484240687679083
MICE,,0:06:06.805843,0.06274346347685893,kNN,9,Classification,14.899713467048711,0.2808022922636103
GAIN,,0:00:01.267819,0.29712533276848047,kNN,9,Classification,63.89684813753582,0.10028653295128939
Mean,,0:00:00,0.134679765139838,kNN,9,Classification,48.137535816618914,0.16332378223495703
Median,,0:00:00,0.13705805364183168,kNN,9,Classification,47.56446991404012,0.18624641833810887
Min,,0:00:00,0.3445532230529512,kNN,9,Classification,67.90830945558739,0.1346704871060172
Max,,0:00:00,0.6792140609081996,kNN,9,Classification,76.21776504297995,0.06876790830945559
Full,,,,kNN,9,Classification,4.011461318051576,0.4699140401146132
kNN,7,0:00:01.977788,0.09993536721885452,RandomForest,10,Regression,22.636103151862464,0.2919175890212975
MICE,,0:06:06.805843,0.06274346347685893,RandomForest,10,Regression,11.74785100286533,0.4990705770830143
GAIN,,0:00:01.267819,0.29712533276848047,RandomForest,10,Regression,34.67048710601719,0.11739201486213746
Mean,,0:00:00,0.134679765139838,RandomForest,10,Regression,29.512893982808023,0.21685779451865306
Median,,0:00:00,0.13705805364183168,RandomForest,10,Regression,30.08595988538682,0.2086250261771878
Min,,0:00:00,0.3445532230529512,RandomForest,10,Regression,48.42406876790831,-0.6877582270479998
Max,,0:00:00,0.6792140609081996,RandomForest,10,Regression,52.722063037249285,-1.8970097000267847
Full,,,,RandomForest,10,Regression,10.315186246418339,0.5364538248396238
kNN,7,0:00:01.977788,0.09993536721885452,RandomForest,32,Classification,17.76504297994269,0.22636103151862463
MICE,,0:06:06.805843,0.06274346347685893,RandomForest,32,Classification,12.034383954154729,0.29512893982808025
GAIN,,0:00:01.267819,0.29712533276848047,RandomForest,32,Classification,23.20916905444126,0.22063037249283668
Mean,,0:00:00,0.134679765139838,RandomForest,32,Classification,22.636103151862464,0.2177650429799427
Median,,0:00:00,0.13705805364183168,RandomForest,32,Classification,21.48997134670487,0.2349570200573066
Min,,0:00:00,0.3445532230529512,RandomForest,32,Classification,31.51862464183381,0.21203438395415472
Max,,0:00:00,0.6792140609081996,RandomForest,32,Classification,38.108882521489974,0.21203438395415472
Full,,,,RandomForest,32,Classification,8.30945558739255,0.3553008595988539
