FillMethod,FillKVal,FillTime,FillRMSE,PredictMethod,BestK_TreeVal,Class/Regress,OutlierRate,MSE/Accuracy
kNN,15,0:00:01.807647,0.0876779221596065,kNN,4,Regression,32.9512893982808,-0.3404855741629409
MICE,,0:12:53.396923,0.04332909785794241,kNN,4,Regression,8.882521489971346,0.5354095578126518
GAIN,,0:00:01.186111,0.3344184767434339,kNN,4,Regression,53.58166189111748,-0.6851452380008713
Mean,,0:00:00,0.12499927606542521,kNN,4,Regression,38.68194842406877,-0.45509656702252976
Median,,0:00:00,0.12753491989767432,kNN,4,Regression,39.82808022922636,-0.4452488378349695
Min,,0:00:00,0.35674119958402795,kNN,4,Regression,53.86819484240688,-1.4902484310837338
Max,,0:00:00,0.7659117903595271,kNN,4,Regression,64.46991404011462,-1.5967001807170753
Full,,,,kNN,4,Regression,6.590257879656161,0.7226157006889087
kNN,15,0:00:01.807647,0.0876779221596065,kNN,9,Classification,29.799426934097422,0.3037249283667622
MICE,,0:12:53.396923,0.04332909785794241,kNN,9,Classification,8.882521489971346,0.37822349570200575
GAIN,,0:00:01.186111,0.3344184767434339,kNN,9,Classification,56.16045845272206,0.13753581661891118
Mean,,0:00:00,0.12499927606542521,kNN,9,Classification,36.96275071633238,0.23209169054441262
Median,,0:00:00,0.12753491989767432,kNN,9,Classification,35.53008595988538,0.25787965616045844
Min,,0:00:00,0.35674119958402795,kNN,9,Classification,52.722063037249285,0.2177650429799427
Max,,0:00:00,0.7659117903595271,kNN,9,Classification,67.0487106017192,0.10888252148997135
Full,,,,kNN,9,Classification,7.163323782234957,0.5243553008595988
kNN,15,0:00:01.807647,0.0876779221596065,RandomForest,23,Regression,16.045845272206304,0.46914484089067365
MICE,,0:12:53.396923,0.04332909785794241,RandomForest,23,Regression,9.455587392550143,0.5392991082499135
GAIN,,0:00:01.186111,0.3344184767434339,RandomForest,23,Regression,34.097421203438394,0.0809978996534203
Mean,,0:00:00,0.12499927606542521,RandomForest,23,Regression,23.78223495702006,0.32587628634953514
Median,,0:00:00,0.12753491989767432,RandomForest,23,Regression,25.214899713467048,0.3097531733829444
Min,,0:00:00,0.35674119958402795,RandomForest,23,Regression,32.09169054441261,-0.1635594870839554
Max,,0:00:00,0.7659117903595271,RandomForest,23,Regression,36.38968481375358,-0.7923518280150583
Full,,,,RandomForest,23,Regression,7.736389684813753,0.6610912192053946
kNN,15,0:00:01.807647,0.0876779221596065,RandomForest,37,Classification,15.472779369627506,0.3037249283667622
MICE,,0:12:53.396923,0.04332909785794241,RandomForest,37,Classification,12.034383954154729,0.3237822349570201
GAIN,,0:00:01.186111,0.3344184767434339,RandomForest,37,Classification,19.484240687679083,0.2808022922636103
Mean,,0:00:00,0.12499927606542521,RandomForest,37,Classification,15.759312320916905,0.27507163323782235
Median,,0:00:00,0.12753491989767432,RandomForest,37,Classification,17.478510028653297,0.28939828080229224
Min,,0:00:00,0.35674119958402795,RandomForest,37,Classification,22.349570200573066,0.2636103151862464
Max,,0:00:00,0.7659117903595271,RandomForest,37,Classification,31.51862464183381,0.24355300859598855
Full,,,,RandomForest,37,Classification,10.315186246418339,0.36962750716332377
