FillMethod,FillKVal,FillTime,FillRMSE,PredictMethod,BestK_TreeVal,Class/Regress,OutlierRate,MSE/Accuracy
kNN,9,0:00:00.956564,0.12451289408391929,kNN,18,Regression,49.2836676217765,-0.11846896714414723
MICE,,0:08:10.613317,0.0757453171399788,kNN,18,Regression,19.484240687679083,0.43147961900838583
GAIN,,0:00:01.359369,0.41224868990304264,kNN,18,Regression,52.722063037249285,-0.18696341227796198
Mean,,0:00:00,0.14109353256072052,kNN,18,Regression,49.570200573065904,-0.1687075247170995
Median,,0:00:00.000016,0.14199244154525487,kNN,18,Regression,48.42406876790831,-0.13581199106672948
Min,,0:00:00,0.3687207019285906,kNN,18,Regression,69.05444126074498,-0.6878852231386561
Max,,0:00:00,0.7856194315825153,kNN,18,Regression,61.31805157593123,-0.4381862591984904
Full,,,,kNN,18,Regression,6.876790830945558,0.6348992561589484
kNN,9,0:00:00.956564,0.12451289408391929,kNN,13,Classification,45.845272206303726,0.1977077363896848
MICE,,0:08:10.613317,0.0757453171399788,kNN,13,Classification,14.899713467048711,0.32664756446991405
GAIN,,0:00:01.359369,0.41224868990304264,kNN,13,Classification,58.45272206303725,0.10315186246418338
Mean,,0:00:00,0.14109353256072052,kNN,13,Classification,44.98567335243553,0.20916905444126074
Median,,0:00:00.000016,0.14199244154525487,kNN,13,Classification,42.97994269340974,0.22063037249283668
Min,,0:00:00,0.3687207019285906,kNN,13,Classification,63.61031518624642,0.18051575931232092
Max,,0:00:00,0.7856194315825153,kNN,13,Classification,67.621776504298,0.07163323782234957
Full,,,,kNN,13,Classification,4.011461318051576,0.498567335243553
kNN,9,0:00:00.956564,0.12451289408391929,RandomForest,60,Regression,24.355300859598852,0.4041139018024432
MICE,,0:08:10.613317,0.0757453171399788,RandomForest,60,Regression,15.18624641833811,0.518004086377299
GAIN,,0:00:01.359369,0.41224868990304264,RandomForest,60,Regression,52.14899713467049,-0.14328666536780732
Mean,,0:00:00,0.14109353256072052,RandomForest,60,Regression,27.793696275071632,0.3158813000916284
Median,,0:00:00.000016,0.14199244154525487,RandomForest,60,Regression,27.22063037249284,0.280313349839734
Min,,0:00:00,0.3687207019285906,RandomForest,60,Regression,48.42406876790831,-1.071348364764308
Max,,0:00:00,0.7856194315825153,RandomForest,60,Regression,58.16618911174785,-0.9579839053969381
Full,,,,RandomForest,60,Regression,10.888252148997134,0.6272951039857106
kNN,9,0:00:00.956564,0.12451289408391929,RandomForest,37,Classification,14.613180515759312,0.3123209169054441
MICE,,0:08:10.613317,0.0757453171399788,RandomForest,37,Classification,10.02865329512894,0.34097421203438394
GAIN,,0:00:01.359369,0.41224868990304264,RandomForest,37,Classification,23.20916905444126,0.27507163323782235
Mean,,0:00:00,0.14109353256072052,RandomForest,37,Classification,21.48997134670487,0.2521489971346705
Median,,0:00:00.000016,0.14199244154525487,RandomForest,37,Classification,15.759312320916905,0.3008595988538682
Min,,0:00:00,0.3687207019285906,RandomForest,37,Classification,27.793696275071632,0.25501432664756446
Max,,0:00:00,0.7856194315825153,RandomForest,37,Classification,45.845272206303726,0.1833810888252149
Full,,,,RandomForest,37,Classification,7.163323782234957,0.37249283667621774
