FillMethod,FillKVal,FillTime,FillRMSE,PredictMethod,BestK_TreeVal,Class/Regress,OutlierRate,MSE/Accuracy
kNN,11,0:00:01.126377,0.07670050236948578,kNN,13,Regression,18.05157593123209,0.37908551676978974
MICE,,0:12:43.979572,0.03637519622389057,kNN,13,Regression,7.736389684813753,0.5523613231744546
GAIN,,0:00:01.201821,0.3352708898712952,kNN,13,Regression,33.2378223495702,-0.014155422176609811
Mean,,0:00:00,0.12164446098160601,kNN,13,Regression,22.636103151862464,0.28785588987648225
Median,,0:00:00.002022,0.12261120034933609,kNN,13,Regression,22.063037249283667,0.30969864229855504
Min,,0:00:00,0.3585696939599026,kNN,13,Regression,33.810888252149,0.02991754902052779
Max,,0:00:00,0.8033346172791984,kNN,13,Regression,38.68194842406877,-0.12589484640690074
Full,,,,kNN,13,Regression,6.590257879656161,0.5833659661858831
kNN,11,0:00:01.126377,0.07670050236948578,kNN,7,Classification,19.770773638968482,0.3467048710601719
MICE,,0:12:43.979572,0.03637519622389057,kNN,7,Classification,7.736389684813753,0.38108882521489973
GAIN,,0:00:01.201821,0.3352708898712952,kNN,7,Classification,43.83954154727794,0.20057306590257878
Mean,,0:00:00,0.12164446098160601,kNN,7,Classification,26.361031518624642,0.27793696275071633
Median,,0:00:00.002022,0.12261120034933609,kNN,7,Classification,25.501432664756447,0.3151862464183381
Min,,0:00:00,0.3585696939599026,kNN,7,Classification,32.9512893982808,0.2722063037249284
Max,,0:00:00,0.8033346172791984,kNN,7,Classification,41.83381088825215,0.21203438395415472
Full,,,,kNN,7,Classification,6.876790830945558,0.47277936962750716
kNN,11,0:00:01.126377,0.07670050236948578,RandomForest,20,Regression,12.320916905444125,0.3380542455864982
MICE,,0:12:43.979572,0.03637519622389057,RandomForest,20,Regression,9.742120343839542,0.38875199557040985
GAIN,,0:00:01.201821,0.3352708898712952,RandomForest,20,Regression,28.36676217765043,-0.027339043051922918
Mean,,0:00:00,0.12164446098160601,RandomForest,20,Regression,17.478510028653297,0.28481819254875274
Median,,0:00:00.002022,0.12261120034933609,RandomForest,20,Regression,17.478510028653297,0.28612099759490073
Min,,0:00:00,0.3585696939599026,RandomForest,20,Regression,25.787965616045845,-0.10530717407219403
Max,,0:00:00,0.8033346172791984,RandomForest,20,Regression,27.22063037249284,-0.3420497538876064
Full,,,,RandomForest,20,Regression,9.455587392550143,0.4561164691946862
kNN,11,0:00:01.126377,0.07670050236948578,RandomForest,19,Classification,12.607449856733524,0.3237822349570201
MICE,,0:12:43.979572,0.03637519622389057,RandomForest,19,Classification,11.74785100286533,0.30945558739255014
GAIN,,0:00:01.201821,0.3352708898712952,RandomForest,19,Classification,17.478510028653297,0.2922636103151863
Mean,,0:00:00,0.12164446098160601,RandomForest,19,Classification,13.753581661891117,0.31805157593123207
Median,,0:00:00.002022,0.12261120034933609,RandomForest,19,Classification,14.040114613180515,0.30945558739255014
Min,,0:00:00,0.3585696939599026,RandomForest,19,Classification,16.045845272206304,0.28939828080229224
Max,,0:00:00,0.8033346172791984,RandomForest,19,Classification,19.197707736389685,0.27507163323782235
Full,,,,RandomForest,19,Classification,10.601719197707736,0.34097421203438394
